entity_type,id,name,type,category,power,accuracy,pp,description,source_status,extra
move,flameburst,Flame Burst,Fire,Special,70,100,16,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,flamecharge,Flame Charge,Fire,Physical,50,100,20,"Cloaking itself in flame, the user attacks the target. Then, building up momentum, the user boosts its Speed stat.",confirmed,
move,flamewheel,Flame Wheel,Fire,Physical,60,100,20,The user attacks by cloaking itself in fire and charging at the target. This may also leave the target with a burn.,confirmed,
move,flamethrower,Flamethrower,Fire,Special,90,100,16,The target is scorched with an intense blast of fire. This may also leave the target with a burn.,confirmed,
move,flareblitz,Flare Blitz,Fire,Physical,120,100,16,The user cloaks itself in fire and charges the target to inflict damage. This also damages the user quite a lot and may leave the target with a burn.,confirmed,
move,flash,Flash,Normal,Status,,100,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,flashcannon,Flash Cannon,Steel,Special,80,100,12,The user gathers all its light energy and releases it at once. This may also lower the target's Sp. Def stat.,confirmed,
move,flatter,Flatter,Dark,Status,,100,16,"Flattery is used to confuse the target. However, this also boosts the target's Sp. Atk stat.",confirmed,
move,fleurcannon,Fleur Cannon,Fairy,Special,130,90,8,The user unleashes a strong beam. The recoil from this move harshly lowers the user's Sp. Atk stat.,confirmed,
move,fling,Fling,Dark,Physical,,100,12,The user flings its held item at the target to attack. This move's power and effects depend on the item.,confirmed,
move,flipturn,Flip Turn,Water,Physical,60,100,20,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",confirmed,
move,floatyfall,Floaty Fall,Flying,Physical,90,95,16,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,floralhealing,Floral Healing,Fairy,Status,,,12,The user restores the target's HP by up to half its max HP. More HP is restored when the ground is Grassy Terrain.,confirmed,
move,flowershield,Flower Shield,Fairy,Status,,,12,The user raises the Defense stats of all Grass-type Pokémon in battle with a mysterious power.,confirmed,
move,flowertrick,Flower Trick,Grass,Physical,70,,12,The user throws a rigged bouquet of flowers at the target. This attack never misses and always lands a critical hit.,confirmed,
move,fly,Fly,Flying,Physical,90,95,16,"The user flies up into the sky on the first turn, then attacks on the next turn.",confirmed,
move,flyingpress,Flying Press,Fighting,Physical,100,95,12,The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously.,confirmed,
move,focusblast,Focus Blast,Fighting,Special,120,70,8,The user heightens its mental focus and unleashes its power. This may also lower the target's Sp. Def stat.,confirmed,
move,focusenergy,Focus Energy,Normal,Status,,,20,The user takes a deep breath and focuses so that its future attacks have a heightened chance of landing critical hits.,confirmed,
move,focuspunch,Focus Punch,Fighting,Physical,150,100,20,The user focuses its mind before launching a punch. This move fails if the user is hit before using the move.,confirmed,
move,followme,Follow Me,Normal,Status,,,20,"The user draws attention to itself, making all opposing Pokémon take aim only at the user.",confirmed,
move,forcepalm,Force Palm,Fighting,Physical,60,100,12,The target is attacked with a shock wave. This may also leave the target with paralysis.,confirmed,
move,foresight,Foresight,Normal,Status,,,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,forestscurse,Forest’s Curse,Grass,Status,,100,20,The user puts a forest curse on the target. This adds Grass type to the target's type.,confirmed,
move,foulplay,Foul Play,Dark,Physical,95,100,16,"The user turns the target's strength against it. The higher the target's Attack stat, the greater the damage this move inflicts.",confirmed,
move,freezeshock,Freeze Shock,Ice,Physical,140,90,8,"The turn after using this move, the user hits the target with electrically charged ice to inflict damage. This may also leave the target with paralysis.",confirmed,
move,freezedry,Freeze-Dry,Ice,Special,70,100,20,The user rapidly cools the target. This may also leave the target frozen. This move is super effective on Water types.,confirmed,
move,freezingglare,Freezing Glare,Psychic,Special,90,100,12,The user shoots its psychic power from its eyes to attack. This may also leave the target frozen.,confirmed,
move,freezyfrost,Freezy Frost,Ice,Special,100,90,12,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,frenzyplant,Frenzy Plant,Grass,Special,150,90,8,The user slams the target with the roots of an enormous tree. The user can't move on the next turn.,confirmed,
move,frostbreath,Frost Breath,Ice,Special,60,90,12,The user attacks by blowing its cold breath on the target. This move always lands a critical hit.,confirmed,
move,frustration,Frustration,Normal,Physical,,100,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,furyattack,Fury Attack,Normal,Physical,15,85,20,"The user attacks by jabbing the target with a horn, a beak, or the like. This move hits two to five times in a row.",confirmed,
move,furycutter,Fury Cutter,Bug,Physical,40,95,20,"The user attacks by slashing the target with scythes, claws, or the like. This attack becomes more powerful if it hits in succession.",confirmed,
move,furyswipes,Fury Swipes,Normal,Physical,18,80,16,"The user attacks by raking the target with claws, scythes, or the like. This move hits two to five times in a row.",confirmed,
move,fusionbolt,Fusion Bolt,Electric,Physical,100,100,8,The user throws down a giant lightning bolt. This move's power is boosted when influenced by an enormous flame.,confirmed,
move,fusionflare,Fusion Flare,Fire,Special,100,100,8,The user brings down a giant flame. This move's power is boosted when influenced by an enormous lightning bolt.,confirmed,
move,futuresight,Future Sight,Psychic,Special,120,100,12,"Two turns after this move is used, a hunk of psychic energy attacks the target.",confirmed,
move,gastroacid,Gastro Acid,Poison,Status,,100,12,The user hurls up its stomach acids on the target. The fluid eliminates the effect of the target's Ability.,confirmed,
move,geargrind,Gear Grind,Steel,Physical,50,85,16,The user attacks by throwing steel gears at its target twice.,confirmed,
move,gearup,Gear Up,Steel,Status,,,20,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,confirmed,
move,genesissupernova,Genesis Supernova,Psychic,Special,185,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,geomancy,Geomancy,Fairy,Status,,,12,"The user absorbs energy and sharply raises its Sp. Atk, Sp. Def, and Speed stats on the next turn.",confirmed,
move,gigadrain,Giga Drain,Grass,Special,75,100,12,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,confirmed,
move,gigaimpact,Giga Impact,Normal,Physical,150,90,8,The user charges at the target using every bit of its power. The user can't move on the next turn.,confirmed,
move,gigatonhammer,Gigaton Hammer,Steel,Physical,160,100,8,The user swings its whole body around to attack with its huge hammer. This move can't be used twice in a row.,confirmed,
move,gigavolthavocphysical,Gigavolt Havoc,Electric,Physical,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,gigavolthavocspecial,Gigavolt Havoc,Electric,Special,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,glaciallance,Glacial Lance,Ice,Physical,120,100,8,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,confirmed,
move,glaciate,Glaciate,Ice,Special,65,95,12,The user attacks by blowing freezing cold air at opposing Pokémon. This also lowers their Speed stats.,confirmed,
move,glaiverush,Glaive Rush,Dragon,Physical,120,100,8,"The user throws its entire body into a reckless charge. After this move is used, attacks on the user cannot miss and will inflict double damage until the user’s next turn.",confirmed,
move,glare,Glare,Normal,Status,,100,20,The user intimidates the target with the pattern on its belly to cause paralysis.,confirmed,
move,glitzyglow,Glitzy Glow,Psychic,Special,80,95,16,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,grassknot,Grass Knot,Grass,Special,,100,20,"The user snares the target with grass and trips it. The heavier the target, the greater the move's power.",confirmed,
move,grasspledge,Grass Pledge,Grass,Special,80,100,12,"A column of grass hits the target. When used with its water counterpart, this move's power is boosted and a vast swamp appears.",confirmed,
move,grasswhistle,Grass Whistle,Grass,Status,,55,16,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,grassyglide,Grassy Glide,Grass,Physical,55,100,20,"Gliding on the ground, the user attacks the target. This move always goes first on Grassy Terrain.",confirmed,
move,grassyterrain,Grassy Terrain,Grass,Status,,,12,The user turns the ground into Grassy Terrain for five turns. This restores the HP of Pokémon on the ground a little every turn and powers up Grass-type moves.,confirmed,
move,gravapple,Grav Apple,Grass,Physical,90,100,12,The user inflicts damage by dropping an apple from high above. This also lowers the target's Defense stat.,confirmed,
move,gravity,Gravity,Psychic,Status,,,8,Enables Flying types or Pokémon with the Levitate Ability to be hit by Ground-type moves for five turns. Moves that involve flying can't be used.,confirmed,
move,growl,Growl,Normal,Status,,100,20,"The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stats.",confirmed,
move,growth,Growth,Grass,Status,,,20,"The user's body grows all at once, boosting the Attack and Sp. Atk stats.",confirmed,
move,grudge,Grudge,Ghost,Status,,,8,"If the user faints, the user’s grudge fully depletes the PP of the opponent’s move that knocked it out.",confirmed,
move,guardsplit,Guard Split,Psychic,Status,,,12,The user employs its psychic power to average its Defense and Sp. Def stats with those of the target.,confirmed,
move,guardswap,Guard Swap,Psychic,Status,,,12,The user employs its psychic power to switch changes to its Defense and Sp. Def stats with the target.,confirmed,
move,guardianofalola,Guardian of Alola,Fairy,Special,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,guillotine,Guillotine,Normal,Physical,,30,8,A vicious tearing attack with big pincers. The target faints instantly if this attack hits.,confirmed,
move,gunkshot,Gunk Shot,Poison,Physical,120,80,8,The user shoots filthy garbage at the target to attack. This may also poison the target.,confirmed,
move,gust,Gust,Flying,Special,40,100,20,A gust of wind is whipped up by wings and launched at the target to inflict damage.,confirmed,
move,gyroball,Gyro Ball,Steel,Physical,,100,8,"The user tackles the target with a high-speed spin. The slower the user is than the target, the greater the move's power.",confirmed,
move,hail,Hail,Ice,Status,,,12,The user summons a hailstorm lasting five turns. It damages all Pokémon except Ice types.,confirmed,
move,hammerarm,Hammer Arm,Fighting,Physical,100,90,12,"The user swings its strong, heavy fist at the target to inflict damage. This also lowers the user's Speed stat.",confirmed,
move,happyhour,Happy Hour,Normal,Status,,,20,Using Happy Hour doubles the amount of prize money received after battle.,confirmed,
move,hardpress,Hard Press,Steel,Physical,,100,12,"The target is crushed with an arm, a claw, or the like to inflict damage. The more HP the target has left, the greater the move's power.",confirmed,
move,harden,Harden,Normal,Status,,,20,The user stiffens all the muscles in its body to boost its Defense stat.,confirmed,
move,haze,Haze,Ice,Status,,,20,The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.,confirmed,
move,headcharge,Head Charge,Normal,Physical,120,100,16,"The user charges its head into its target, using its powerful guard hair. This also damages the user a little.",confirmed,
move,headsmash,Head Smash,Rock,Physical,150,80,8,The user attacks the target with a hazardous full-power headbutt. This also damages the user terribly.,confirmed,
move,headbutt,Headbutt,Normal,Physical,70,100,16,The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.,confirmed,
move,headlongrush,Headlong Rush,Ground,Physical,120,100,8,The user smashes into the target in a full-body tackle. This also lowers the user’s Defense and Sp. Def stats.,confirmed,
move,healbell,Heal Bell,Normal,Status,,,8,The user makes a soothing bell chime to cure the status conditions of all its fellow party Pokémon and allies.,confirmed,
move,healblock,Heal Block,Psychic,Status,,100,16,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,healorder,Heal Order,Bug,Status,,,12,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,healpulse,Heal Pulse,Psychic,Status,,,12,The user emits a healing pulse that restores the target's HP by up to half its max HP.,confirmed,
move,healingwish,Healing Wish,Psychic,Status,,,12,"The user faints. In return, the Pokémon taking its place will have its HP restored and status conditions cured.",confirmed,
move,heartstamp,Heart Stamp,Psychic,Physical,60,100,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,heartswap,Heart Swap,Psychic,Status,,,12,The user employs its psychic power to switch stat changes with the target.,confirmed,
move,heatcrash,Heat Crash,Fire,Physical,,100,12,"The user slams into the target with its flame-covered body. The more the user outweighs the target, the greater the move's power.",confirmed,
move,heatwave,Heat Wave,Fire,Special,95,90,12,The user attacks by exhaling hot breath on opposing Pokémon. This may also leave them with a burn.,confirmed,
move,heavyslam,Heavy Slam,Steel,Physical,,100,12,"The user slams into the target with its heavy body. The more the user outweighs the target, the greater the move's power.",confirmed,
move,helpinghand,Helping Hand,Normal,Status,,,20,The user assists an ally by boosting the power of that ally's attack.,confirmed,
move,hex,Hex,Ghost,Special,65,100,12,This relentless attack does massive damage to a target affected by status conditions.,confirmed,
move,hiddenpower,Hidden Power,Normal,Special,60,100,16,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,highhorsepower,High Horsepower,Ground,Physical,95,95,12,The user fiercely attacks the target using its entire body.,confirmed,
move,highjumpkick,High Jump Kick,Fighting,Physical,130,90,12,"The target is attacked with a knee kick from a jump. If this move misses, the user takes damage instead.",confirmed,
move,holdback,Hold Back,Normal,Physical,40,100,20,"The user holds back when it attacks, and the target is left with at least 1 HP.",confirmed,
move,holdhands,Hold Hands,Normal,Status,,,20,The user and an ally hold hands. This makes them very happy.,confirmed,
move,honeclaws,Hone Claws,Dark,Status,,,16,The user sharpens its claws to boost its Attack stat and accuracy.,confirmed,
move,hornattack,Horn Attack,Normal,Physical,65,100,20,The target is jabbed with a sharply pointed horn to inflict damage.,confirmed,
move,horndrill,Horn Drill,Normal,Physical,,30,8,The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.,confirmed,
move,hornleech,Horn Leech,Grass,Physical,75,100,12,The user drains the target's energy with its horns. The user's HP is restored by up to half the damage taken by the target.,confirmed,
move,howl,Howl,Normal,Status,,,20,The user howls loudly to rouse itself and its allies. This boosts their Attack stats.,confirmed,
move,hurricane,Hurricane,Flying,Special,110,70,12,The user attacks by wrapping its opponent in a fierce wind. This may also confuse the target.,confirmed,
move,hydrocannon,Hydro Cannon,Water,Special,150,90,8,The target is hit with a watery blast. The user can't move on the next turn.,confirmed,
move,hydropump,Hydro Pump,Water,Special,110,80,8,The target is blasted by a huge volume of water launched under great pressure.,confirmed,
move,hydrosteam,Hydro Steam,Water,Special,80,100,16,The user blasts the target with boiling-hot water. This move's power is not lowered in harsh sunlight but rather boosted by 50 percent.,confirmed,
move,hydrovortexphysical,Hydro Vortex,Water,Physical,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,hydrovortexspecial,Hydro Vortex,Water,Special,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,hyperbeam,Hyper Beam,Normal,Special,150,90,8,The target is attacked with a powerful beam. The user can't move on the next turn.,confirmed,
move,hyperdrill,Hyper Drill,Normal,Physical,100,100,8,The user spins the pointed part of its body at high speed to pierce the target. This attack can hit a target using a move such as Protect or Detect.,confirmed,
move,hyperfang,Hyper Fang,Normal,Physical,80,90,16,The user bites hard on the target with its sharp front fangs. This may also make the target flinch.,confirmed,
move,hypervoice,Hyper Voice,Normal,Special,90,100,12,"The user attacks by letting loose a horribly loud, resounding cry.",confirmed,
move,hyperspacefury,Hyperspace Fury,Dark,Physical,100,,8,"Using its many arms, the user unleashes a barrage of attacks that ignore the effects of moves like Protect and Detect. This also lowers the user's Defense stat.",confirmed,
move,hyperspacehole,Hyperspace Hole,Psychic,Special,80,,8,"Using a hyperspace hole, the user appears right next to the target and strikes. This attack can hit a target using a move such as Protect or Detect.",confirmed,
move,hypnosis,Hypnosis,Psychic,Status,,60,20,The user employs hypnotic suggestion to make the target fall asleep.,confirmed,
move,iceball,Ice Ball,Ice,Physical,30,90,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,icebeam,Ice Beam,Ice,Special,90,100,12,The target is struck with an icy-cold beam of energy. This may also leave the target frozen.,confirmed,
move,iceburn,Ice Burn,Ice,Special,140,90,8,"The turn after using this move, the user surrounds the target with an ultracold, freezing wind to inflict damage. This may also leave the target with a burn.",confirmed,
move,icefang,Ice Fang,Ice,Physical,65,95,16,The user bites with cold-infused fangs. This may also make the target flinch or leave it frozen.,confirmed,
move,icehammer,Ice Hammer,Ice,Physical,100,90,12,"The user swings its strong, heavy fist at the target to inflict damage. This also lowers the user's Speed stat.",confirmed,
move,icepunch,Ice Punch,Ice,Physical,75,100,16,The target is attacked with an icy punch. This may also leave the target frozen.,confirmed,
move,iceshard,Ice Shard,Ice,Physical,40,100,20,The user flash-freezes chunks of ice and hurls them at the target. This move always goes first.,confirmed,
move,icespinner,Ice Spinner,Ice,Physical,80,100,16,"The user covers its feet in thin ice and twirls around, slamming into the target. This move's spinning motion also destroys the terrain.",confirmed,
move,iciclecrash,Icicle Crash,Ice,Physical,85,90,12,The user attacks by crashing large icicles onto the target. This may also make the target flinch.,confirmed,
move,iciclespear,Icicle Spear,Ice,Physical,25,100,20,The user attacks by launching sharp icicles at the target. This move hits two to five times in a row.,confirmed,
move,icywind,Icy Wind,Ice,Special,55,95,16,The user attacks with a gust of chilled air. This also lowers opposing Pokémon's Speed stats.,confirmed,
move,imprison,Imprison,Psychic,Status,,,12,"If opposing Pokémon know any move also known by the user, they are prevented from using it.",confirmed,
move,incinerate,Incinerate,Fire,Special,60,100,16,"The user attacks opposing Pokémon with fire. If a Pokémon is holding a certain item, such as a Berry, the item becomes burned up and unusable.",confirmed,
move,infernalparade,Infernal Parade,Ghost,Special,65,100,16,The user attacks with myriad fireballs. This may also leave the target with a burn. This move's power is doubled if the target has a status condition.,confirmed,
move,inferno,Inferno,Fire,Special,100,50,8,The user attacks by engulfing the target in an intense fire. This leaves the target with a burn.,confirmed,
move,infernooverdrivephysical,Inferno Overdrive,Fire,Physical,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,infernooverdrivespecial,Inferno Overdrive,Fire,Special,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,infestation,Infestation,Bug,Special,20,100,20,The target is infested and attacked for four to five turns. The target can't flee during this time.,confirmed,
move,ingrain,Ingrain,Grass,Status,,,20,"The user lays roots that restore its own HP every turn. Because the user is now rooted, it can't switch out.",confirmed,
move,instruct,Instruct,Psychic,Status,,,16,The user instructs the target to reuse the move last used by the target.,confirmed,
move,iondeluge,Ion Deluge,Electric,Status,,,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,irondefense,Iron Defense,Steel,Status,,,16,"The user hardens its body's surface like iron, sharply boosting its Defense stat.",confirmed,
move,ironhead,Iron Head,Steel,Physical,80,100,16,The user slams the target with its steel-hard head. Has a 20% chance of making the target flinch.,confirmed,
move,irontail,Iron Tail,Steel,Physical,100,75,16,The target is slammed with a steel-hard tail. This may also lower the target's Defense stat.,confirmed,
move,ivycudgel,Ivy Cudgel,Grass,Physical,100,100,12,"The user strikes with an ivy-wrapped cudgel. This move's type changes depending on the mask worn by the user, and it has a heightened chance of landing a critical hit.",confirmed,
move,jawlock,Jaw Lock,Dark,Physical,80,100,12,This move prevents the user and the target from switching out until either of them faints. The effect goes away if either of the Pokémon leaves the field.,confirmed,
move,jetpunch,Jet Punch,Water,Physical,60,100,16,The user summons a torrent around its fist and punches at blinding speed. This move always goes first.,confirmed,
move,judgment,Judgment,Normal,Special,100,100,12,The user releases countless shots of light at the target. This move's type changes depending on the kind of plate held by the user.,confirmed,
move,jumpkick,Jump Kick,Fighting,Physical,100,95,12,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,junglehealing,Jungle Healing,Grass,Status,,,12,"The user becomes one with the jungle, restoring HP and curing status conditions for itself and its ally Pokémon currently in the battle.",confirmed,
move,karatechop,Karate Chop,Fighting,Physical,50,100,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,kinesis,Kinesis,Psychic,Status,,80,16,The user distracts the target by bending a spoon. This lowers the target’s accuracy.,confirmed,
move,kingsshield,King’s Shield,Steel,Status,,,12,The user takes a defensive stance while it protects itself from damage. It also lowers the Attack stat of any attacker that makes direct contact.,confirmed,
move,knockoff,Knock Off,Dark,Physical,65,100,20,"The user slaps down the target's held item, making it unusable for that battle. This move does more damage if the target has a held item.",confirmed,
move,kowtowcleave,Kowtow Cleave,Dark,Physical,85,,12,The user slashes at the target after kowtowing to make the target let down its guard. This attack never misses.,confirmed,
move,landswrath,Land’s Wrath,Ground,Physical,90,100,12,The user gathers the energy of the land and focuses that power on opposing Pokémon to damage them.,confirmed,
move,laserfocus,Laser Focus,Normal,Status,,,20,The user concentrates intensely. The attack on the next turn always results in a critical hit.,confirmed,
move,lashout,Lash Out,Dark,Physical,75,100,8,The user lashes out to vent its frustration toward the target. This move's power is doubled if the user's stats were lowered during this turn.,confirmed,
move,lastresort,Last Resort,Normal,Physical,140,100,8,This move can be used only after the user has used all the other moves it knows in the battle.,confirmed,
move,lastrespects,Last Respects,Ghost,Physical,50,100,12,"The user attacks to avenge its allies. The more defeated allies there are in the user's party, the greater the move's power.",confirmed,
move,lavaplume,Lava Plume,Fire,Special,80,100,16,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.,confirmed,
move,leafblade,Leaf Blade,Grass,Physical,90,100,16,The user handles a sharp leaf like a sword and cuts the target to inflict damage. This move has a heightened chance of landing a critical hit.,confirmed,
move,leafstorm,Leaf Storm,Grass,Special,130,90,8,The user whips up a storm of leaves around the target. The recoil from this move harshly lowers the user's Sp. Atk stat.,confirmed,
move,leaftornado,Leaf Tornado,Grass,Special,65,90,12,The user attacks its target by encircling it in sharp leaves. This attack may also lower the target’s accuracy.,confirmed,
move,leafage,Leafage,Grass,Physical,40,100,20,The user attacks by pelting the target with leaves.,confirmed,
move,leechlife,Leech Life,Bug,Physical,80,100,12,The user drains the target's blood. The user's HP is restored by up to half the damage taken by the target.,confirmed,
move,leechseed,Leech Seed,Grass,Status,,90,12,A seed is planted on the target. It steals some HP from the target every turn.,confirmed,
move,leer,Leer,Normal,Status,,100,20,The user gives opposing Pokémon an intimidating leer that lowers their Defense stats.,confirmed,
move,letssnuggleforever,Let’s Snuggle Forever,Fairy,Physical,190,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,lick,Lick,Ghost,Physical,30,100,20,The user licks the target with a long tongue to inflict damage. This may also leave the target with paralysis.,confirmed,
move,lifedew,Life Dew,Water,Status,,,12,The user scatters mysterious water around and restores the HP of itself and its ally Pokémon currently in the battle.,confirmed,
move,lightscreen,Light Screen,Psychic,Status,,,20,A wondrous wall of light is put up to reduce damage from special moves for five turns.,confirmed,
move,lightthatburnsthesky,Light That Burns the Sky,Psychic,Special,200,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,lightofruin,Light of Ruin,Fairy,Special,140,90,8,"Drawing power from the Eternal Flower, the user fires a powerful beam of light. This also damages the user quite a lot.",confirmed,
move,liquidation,Liquidation,Water,Physical,85,100,12,The user slams into the target using a full-force blast of water. This may also lower the target's Defense stat.,confirmed,
move,lockon,Lock-On,Normal,Status,,,8,The user takes sure aim at the target. This ensures the user's next move does not miss that target.,confirmed,
move,lovelykiss,Lovely Kiss,Normal,Status,,75,12,"With a scary face, the user tries to force a kiss on the target. If it succeeds, the target falls asleep.",confirmed,
move,lowkick,Low Kick,Fighting,Physical,,100,20,"A powerful low kick that makes the target fall over. The heavier the target, the greater the move's power.",confirmed,
move,lowsweep,Low Sweep,Fighting,Physical,65,100,20,"The user makes a swift attack on the target's legs, which lowers the target's Speed stat.",confirmed,
move,luckychant,Lucky Chant,Normal,Status,,,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,luminacrash,Lumina Crash,Psychic,Special,80,100,12,The user attacks by unleashing a peculiar light that even affects the mind. This also harshly lowers the target's Sp. Def stat.,confirmed,
move,lunarblessing,Lunar Blessing,Psychic,Status,,,8,"The user receives a blessing from the crescent moon, restoring HP and curing status conditions for itself and its ally Pokémon currently in the battle.",confirmed,
move,lunardance,Lunar Dance,Psychic,Status,,,12,"The user faints. In return, the Pokémon taking its place will have its HP and PP restored and its status conditions cured.",confirmed,
move,lunge,Lunge,Bug,Physical,80,100,16,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.",confirmed,
move,lusterpurge,Luster Purge,Psychic,Special,95,100,8,The user lets loose a damaging burst of light. This may also lower the target's Sp. Def stat.,confirmed,
move,machpunch,Mach Punch,Fighting,Physical,40,100,20,The user throws a punch at blinding speed. This move always goes first.,confirmed,
move,magiccoat,Magic Coat,Psychic,Status,,,16,Moves like Leech Seed and moves that inflict status conditions are blocked by a barrier and reflected back to the user of those moves.,confirmed,
move,magicpowder,Magic Powder,Psychic,Status,,100,20,The user scatters a cloud of magic powder that changes the target's type to Psychic.,confirmed,
move,magicroom,Magic Room,Psychic,Status,,,12,The user creates a bizarre area in which Pokémon's held items lose their effects for five turns.,confirmed,
move,magicalleaf,Magical Leaf,Grass,Special,60,,20,The user scatters curious leaves that chase the target. This attack never misses.,confirmed,
move,magicaltorque,Magical Torque,Fairy,Physical,100,100,12,Has a 30% chance to confuse the target.,confirmed,
move,magmastorm,Magma Storm,Fire,Special,100,75,8,The user traps the target inside a maelstrom of fire that inflicts damage for four to five turns.,confirmed,
move,magnetbomb,Magnet Bomb,Steel,Physical,60,,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,magnetrise,Magnet Rise,Electric,Status,,,12,The user levitates using electrically generated magnetism for five turns.,confirmed,
move,magneticflux,Magnetic Flux,Electric,Status,,,20,"The user manipulates magnetic fields, which boosts the Defense and Sp. Def stats of ally Pokémon with the Plus Ability or the Minus Ability.",confirmed,
move,magnitude,Magnitude,Ground,Physical,,100,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,makeitrain,Make It Rain,Steel,Special,120,95,8,The user attacks by throwing out a mass of coins. This also lowers the user's Sp. Atk stat 2 stages. Money is earned after the battle.,confirmed,
move,maliciousmoonsault,Malicious Moonsault,Dark,Physical,180,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,malignantchain,Malignant Chain,Poison,Special,100,100,8,"The user pours toxins into the target by wrapping them in a toxic, corrosive chain. This may also leave the target badly poisoned.",confirmed,
move,matblock,Mat Block,Fighting,Status,,,12,"Using a pulled-up mat as a shield, the user protects itself and its allies from damaging moves. This does not stop status moves.",confirmed,
move,matchagotcha,Matcha Gotcha,Grass,Special,80,90,16,The user fires a blast of tea that it mixed. The user's HP is restored by up to half the damage taken by the target. This may also leave the target with a burn.,confirmed,
move,maxairstream,Max Airstream,Flying,Physical,10,,12,This is a Flying-type attack Dynamax Pokémon use. This raises ally Pokémon’s Speed stats.,confirmed,
move,maxdarkness,Max Darkness,Dark,Physical,10,,12,This is a Dark-type attack Dynamax Pokémon use. This lowers the target’s Sp. Def stat.,confirmed,
move,maxflare,Max Flare,Fire,Physical,100,,12,This is a Fire-type attack Dynamax Pokémon use. The user intensifies the sun for five turns.,confirmed,
move,maxflutterby,Max Flutterby,Bug,Physical,10,,12,This is a Bug-type attack Dynamax Pokémon use. This lowers the target’s Sp. Atk stat.,confirmed,
move,maxgeyser,Max Geyser,Water,Physical,10,,12,This is a Water-type attack Dynamax Pokémon use. The user summons a heavy rain that falls for five turns.,confirmed,
